CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Name,Org_Type,Age_Band,Table_Code,Rate_benign_biopsy,Rate_benign_biopsy_warning,Non-op_diag_rate_invasive,Non-op_diag_rate_non-invasive,Rate_non_op_diagnosis,Rate_non_op_diagnosis_warning,Rate_small_invasive,Rate_small_invasive_warning,SDR,SDR_warning
2014-15,R6,East of England,East of England,Region,50<71,A to F2,0.45452938532476,,:,:,96.983311938382500,,not included,not included,not included,not included
2014-15,R7,London,London,Region,50<71,A to F2,0.60658140827984,,:,:,97.339246119733900,,not included,not included,not included,not included
2014-15,R8,South East,South East,Region,50<71,A to F2,0.80247513424218,,:,:,96.087580760947600,,not included,not included,not included,not included
2015-16,R1,North East,North East,Region,50<71,A to F2,0.16384787634947,!,:,:,98.837209302325500,,not included,not included,not included,not included
2015-16,R10,South West,South West,Region,50<71,A to F2,0.50423705995526,,:,:,96.661007357102400,,not included,not included,not included,not included
2015-16,R2,North West,North West,Region,50<71,A to F2,0.43191127706412,,:,:,98.047722342733200,,not included,not included,not included,not included
2015-16,R3,Yorkshire and the Humber,Yorkshire and the Humber,Region,50<71,A to F2,0.25514220106291,,:,:,97.640527411519700,,not included,not included,not included,not included
2015-16,R4,East Midlands,East Midlands,Region,50<71,A to F2,0.36670954347483,,:,:,98.499317871759900,,not included,not included,not included,not included
2015-16,R5,West Midlands,West Midlands,Region,50<71,A to F2,0.47619299573014,,:,:,97.924528301886800,,not included,not included,not included,not included
2015-16,R6,East of England,East of England,Region,50<71,A to F2,0.45253492547772,,:,:,97.875080489375300,,not included,not included,not included,not included
2015-16,R7,London,London,Region,50<71,A to F2,0.53470779533840,,:,:,98.180784536668500,,not included,not included,not included,not included
2015-16,R8,South East,South East,Region,50<71,A to F2,0.68488246482973,,:,:,95.833333333333300,,not included,not included,not included,not included
2016-17,R1,North East,North East,Region,50<71,A to F2,0.15558820987121,!,:,:,99.111111111111100,,not included,not included,not included,not included
2016-17,R10,South West,South West,Region,50<71,A to F2,0.55029231527788,,:,:,96.920668058455100,,not included,not included,not included,not included
2016-17,R2,North West,North West,Region,50<71,A to F2,0.29543890889959,,:,:,98.508180943214600,,not included,not included,not included,not included
2016-17,R3,Yorkshire and the Humber,Yorkshire and the Humber,Region,50<71,A to F2,0.26719196957155,,:,:,98.190045248868700,,not included,not included,not included,not included
2016-17,R4,East Midlands,East Midlands,Region,50<71,A to F2,0.26459640028625,,:,:,98.149575944487200,,not included,not included,not included,not included
2016-17,R5,West Midlands,West Midlands,Region,50<71,A to F2,0.34344769447726,,:,:,98.375000000000000,,not included,not included,not included,not included
2016-17,R6,East of England,East of England,Region,50<71,A to F2,0.23214497216629,,:,:,98.063266623628100,,not included,not included,not included,not included
2016-17,R7,London,London,Region,50<71,A to F2,0.51855266190366,,:,:,97.695605573419000,,not included,not included,not included,not included
2016-17,R8,South East,South East,Region,50<71,A to F2,0.70499416497548,,:,:,96.806790622473700,,not included,not included,not included,not included
2017-18,R1,North East,North East,Region,50<71,A to F2,0.16000142223486,!,:,:,98.853211009174300,,not included,not included,not included,not included
2017-18,R10,South West,South West,Region,50<71,A to F2,0.45350880635610,,:,:,97.008973080757700,,not included,not included,not included,not included
2017-18,R2,North West,North West,Region,50<71,A to F2,0.29485932569633,,:,:,97.935415563790300,,not included,not included,not included,not included
2017-18,R3,Yorkshire and the Humber,Yorkshire and the Humber,Region,50<71,A to F2,0.20882863201182,,:,:,98.530440867739600,,not included,not included,not included,not included
2017-18,R4,East Midlands,East Midlands,Region,50<71,A to F2,0.24778820866020,,:,:,98.311048557353900,,not included,not included,not included,not included
2017-18,R5,West Midlands,West Midlands,Region,50<71,A to F2,0.43517971310374,,:,:,98.118279569892400,,not included,not included,not included,not included
2017-18,R6,East of England,East of England,Region,50<71,A to F2,0.23059449222602,,:,:,98.056994818652800,,not included,not included,not included,not included
2017-18,R7,London,London,Region,50<71,A to F2,0.44825436941283,,:,:,99.104320337197000,,not included,not included,not included,not included
2017-18,R8,South East,South East,Region,50<71,A to F2,0.56800709104394,,:,:,97.117422636710400,,not included,not included,not included,not included
2018-19,R1,North East,North East,Region,50<71,A to F2,0.09909642081746,!,:,:,99.229074889867800,,not included,not included,not included,not included
2018-19,R10,South West,South West,Region,50<71,A to F2,0.33678901895086,,:,:,97.862823061630200,,not included,not included,not included,not included
2018-19,R2,North West,North West,Region,50<71,A to F2,0.32632038488166,,:,:,98.198661863098300,,not included,not included,not included,not included
2018-19,R3,Yorkshire and the Humber,Yorkshire and the Humber,Region,50<71,A to F2,0.18731561119523,,:,:,98.495748855461000,,not included,not included,not included,not included
2018-19,R4,East Midlands,East Midlands,Region,50<71,A to F2,0.28772760339193,,:,:,98.806179775280900,,not included,not included,not included,not included
2018-19,R5,West Midlands,West Midlands,Region,50<71,A to F2,0.28834423866031,,:,:,98.387096774193500,,not included,not included,not included,not included
2018-19,R6,East of England,East of England,Region,50<71,A to F2,0.27144776666350,,:,:,98.426573426573400,,not included,not included,not included,not included
2018-19,R7,London,London,Region,50<71,A to F2,0.32499472981519,,:,:,98.661461238148300,,not included,not included,not included,not included
2018-19,R8,South East,South East,Region,50<71,A to F2,0.44382384972807,,:,:,97.249190938511300,,not included,not included,not included,not included
2019-20,R1,North East,North East,Region,50<71,A to F2,0.13624596939007,!,:,:,99.549041713641400,,not included,not included,not included,not included
2019-20,R10,South West,South West,Region,50<71,A to F2,0.29015266494063,,:,:,98.575949367088600,,not included,not included,not included,not included
2019-20,R2,North West,North West,Region,50<71,A to F2,0.22195947532195,,:,:,98.913633894622400,,not included,not included,not included,not included
2019-20,R3,Yorkshire and the Humber,Yorkshire and the Humber,Region,50<71,A to F2,0.23713157029604,,:,:,99.217081850533800,,not included,not included,not included,not included
2019-20,R4,East Midlands,East Midlands,Region,50<71,A to F2,0.26070003627131,,:,:,99.226985242445500,,not included,not included,not included,not included
2019-20,R5,West Midlands,West Midlands,Region,50<71,A to F2,0.23560916462185,,:,:,99.030470914127400,,not included,not included,not included,not included
2019-20,R6,East of England,East of England,Region,50<71,A to F2,0.26096290387702,,:,:,98.950131233595800,,not included,not included,not included,not included
2019-20,R7,London,London,Region,50<71,A to F2,0.35874817988056,,:,:,98.095238095238000,,not included,not included,not included,not included
2019-20,R8,South East,South East,Region,50<71,A to F2,0.32315065008285,,:,:,98.787388843977300,,not included,not included,not included,not included
2020-21,R1,North East,North East,Region,50<71,A to F2,0.11699498384007,!,:,:,98.394863563402900,,not included,not included,not included,not included
2020-21,R10,South West,South West,Region,50<71,A to F2,0.36601644920984,,:,:,97.918215613382900,,not included,not included,not included,not included
2020-21,R2,North West,North West,Region,50<71,A to F2,0.25509415293281,,:,:,98.631308810949500,,not included,not included,not included,not included
2020-21,R3,Yorkshire and the Humber,Yorkshire and the Humber,Region,50<71,A to F2,0.19524894240156,!,:,:,99.090909090909100,,not included,not included,not included,not included
2020-21,R4,East Midlands,East Midlands,Region,50<71,A to F2,0.28021670091537,,:,:,99.578059071729900,,not included,not included,not included,not included
2020-21,R5,West Midlands,West Midlands,Region,50<71,A to F2,0.30061772092978,,:,:,99.146211312700100,,not included,not included,not included,not included
2020-21,R6,East of England,East of England,Region,50<71,A to F2,0.26026793137602,,:,:,98.694516971279300,,not included,not included,not included,not included
2020-21,R7,London,London,Region,50<71,A to F2,0.30851587189087,,:,:,98.750000000000000,,not included,not included,not included,not included
2020-21,R8,South East,South East,Region,50<71,A to F2,0.31540766440625,,:,:,98.564329099944700,,not included,not included,not included,not included
2021-22,R1,North East,North East,Region,50<71,A to F2,0.207318337306934,,:,:,98.6046511627907,,not included,not included,not included,not included
2021-22,R10,South West,South West,Region,50<71,A to F2,0.354314459923530,,:,:,98.4492875104777,,not included,not included,not included,not included
2021-22,R2,North West,North West,Region,50<71,A to F2,0.237909676360802,,:,:,98.1490050902360,,not included,not included,not included,not included
2021-22,R3,Yorkshire and the Humber,Yorkshire and the Humber,Region,50<71,A to F2,0.234892356060674,,:,:,98.4962406015037,,not included,not included,not included,not included
2021-22,R4,East Midlands,East Midlands,Region,50<71,A to F2,0.303824922057221,,:,:,99.1252050300710,,not included,not included,not included,not included
2021-22,R5,West Midlands,West Midlands,Region,50<71,A to F2,0.362915314500307,,:,:,99.0379173740803,,not included,not included,not included,not included
2021-22,R6,East of England,East of England,Region,50<71,A to F2,0.248573970380448,,:,:,97.9143798024149,,not included,not included,not included,not included
2021-22,R7,London,London,Region,50<71,A to F2,0.303296600745020,,:,:,98.7777274784970,,not included,not included,not included,not included
2021-22,R8,South East,South East,Region,50<71,A to F2,0.374882268378525,,:,:,98.0814540558734,,not included,not included,not included,not included
2011-12,R1,North East,North East,Region,50<71,A and B,1.43425255883695,!,not included,not included,93.442622950819600,,2.28176543451333,,1.48892988809137,
2011-12,R10,South West,South West,Region,50<71,A and B,1.72869994708061,,not included,not included,93.562231759656600,,2.57541012524254,,1.46210883303985,
2011-12,R2,North West,North West,Region,50<71,A and B,1.67057444314185,,not included,not included,95.498392282958200,,3.16529894490035,,1.79015823397833,
2011-12,R3,Yorkshire and the Humber,Yorkshire and the Humber,Region,50<71,A and B,0.97185227845368,,not included,not included,92.237442922374400,,3.09552947951911,,1.41099191646348,
2011-12,R4,East Midlands,East Midlands,Region,50<71,A and B,1.48254828871568,,not included,not included,93.750000000000000,,2.71094544222297,,1.45323210574400,
2011-12,R5,West Midlands,West Midlands,Region,50<71,A and B,1.80275715800636,,not included,not included,91.320754716981100,,3.25203252032520,,1.71379515454741,
2011-12,R6,East of England,East of England,Region,50<71,A and B,2.30513892303909,,not included,not included,89.430894308943000,,2.48955003688222,,1.34820386702060,
2011-12,R7,London,London,Region,50<71,A and B,1.60771704180064,,not included,not included,92.771084337349400,,2.44867672520405,,1.42833299818118,
2011-12,R8,South East,South East,Region,50<71,A and B,2.09145146731831,,not included,not included,90.932642487046600,,2.79594038262554,,1.54071234726875,
2012-13,R1,North East,North East,Region,50<71,A and B,1.42728365384615,!,not included,not included,93.693693693693600,,2.77944711538461,,1.46790316807378,
2012-13,R10,South West,South West,Region,50<71,A and B,1.80323889447584,,not included,not included,94.537815126050400,,2.94760203904705,,1.53227654458210,
2012-13,R2,North West,North West,Region,50<71,A and B,1.34362403524669,,not included,not included,94.023904382470100,,2.34353029403493,,1.41490658987718,
2012-13,R3,Yorkshire and the Humber,Yorkshire and the Humber,Region,50<71,A and B,1.20609075832956,,not included,not included,96.000000000000000,,3.09060756821950,,1.61557735888074,
2012-13,R4,East Midlands,East Midlands,Region,50<71,A and B,1.18115403123496,,not included,not included,92.647058823529400,,2.93101185528675,,1.57177708216187,
2012-13,R5,West Midlands,West Midlands,Region,50<71,A and B,1.99945113106206,,not included,not included,93.087557603686600,,2.74434468969302,,1.52896409585869,
