CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Name,Org_Type,Age_Band,Table_Code,Initial_referred,Percent_assessment,Referral_cyt_bio,Open_biop_total,Final_STR,Percent_STR
2013-14,E92000001,England,England,National,45-74,C2,4840.0,4.823888213367352,2374.0,80.0,58.0,0.057806924870931094
2013-14,E92000001,England,England,National,45-74,D,867.0,98.29931972789116,138.0,14.0,43.0,4.875283446712018
2013-14,E92000001,England,England,National,45-74,E,1486.0,8.26152221048535,655.0,25.0,30.0,0.16678712403402457
2013-14,E92000001,England,England,National,45-74,F1,1822.0,3.860169491525424,884.0,34.0,17.0,0.036016949152542374
2013-14,E92000001,England,England,National,45-74,F2,445.0,5.335091715621628,245.0,13.0,6.0,0.07193382088478599
2013-14,E92000001,England,England,National,50-52,A,15390.0,7.8763933385876745,7353.0,459.0,201.0,0.1028690747924706
2013-14,E92000001,England,England,National,50-52,A to F2,20263.0,6.845029980575965,9240.0,573.0,267.0,0.0901950848745883
2013-14,E92000001,England,England,National,50-52,B,902.0,8.2820677623726,422.0,20.0,17.0,0.15609218620879625
2013-14,E92000001,England,England,National,50-52,C1,2959.0,3.7218253169651843,1084.0,71.0,28.0,0.03521835379351982
2013-14,E92000001,England,England,National,50-52,C2,74.0,4.836601307189543,28.0,3.0,0.0,0.0
2013-14,E92000001,England,England,National,50-52,D,243.0,98.38056680161942,37.0,5.0,9.0,3.643724696356275
2013-14,E92000001,England,England,National,50-52,E,668.0,8.521495088659266,307.0,15.0,11.0,0.14032402092103585
2013-14,E92000001,England,England,National,50-52,F1,26.0,4.227642276422764,8.0,0.0,1.0,0.16260162601626016
2013-14,E92000001,England,England,National,50-52,F2,1.0,20.0,1.0,0.0,0.0,0.0
2013-14,E92000001,England,England,National,50<71,A,16213.0,7.88305481137167,7723.0,471.0,213.0,0.10356446523297141
2013-14,E92000001,England,England,National,50<71,A to F2,69418.0,3.9209572788608447,32277.0,1526.0,803.0,0.04535608480401709
2013-14,E92000001,England,England,National,50<71,B,4103.0,8.237963297594668,1946.0,87.0,56.0,0.11243625266032205
2013-14,E92000001,England,England,National,50<71,C1,41612.0,3.015408205487185,19270.0,835.0,411.0,0.029783061916159592
2013-14,E92000001,England,England,National,50<71,C2,4506.0,4.755421877473484,2181.0,76.0,56.0,0.0590997836525777
2013-14,E92000001,England,England,National,50<71,D,742.0,98.40848806366049,116.0,12.0,35.0,4.641909814323608
2013-14,E92000001,England,England,National,50<71,E,1164.0,8.218597754712984,543.0,19.0,23.0,0.16239497281649368
2013-14,E92000001,England,England,National,50<71,F1,871.0,4.044578592988159,401.0,20.0,6.0,0.02786162061759926
2013-14,E92000001,England,England,National,50<71,F2,207.0,5.484896661367249,97.0,6.0,3.0,0.0794912559618442
2013-14,E92000001,England,England,National,53-54,A,261.0,7.795698924731183,102.0,4.0,2.0,0.05973715651135006
2013-14,E92000001,England,England,National,53-54,A to F2,7250.0,3.8172159069968252,2894.0,150.0,79.0,0.04159449057279299
2013-14,E92000001,England,England,National,53-54,B,1366.0,7.836163377696191,614.0,20.0,12.0,0.06883891693437356
2013-14,E92000001,England,England,National,53-54,C1,5049.0,3.131104537589998,1974.0,113.0,50.0,0.031007175060308954
2013-14,E92000001,England,England,National,53-54,C2,140.0,4.599211563731932,57.0,5.0,1.0,0.0328515111695138
2013-14,E92000001,England,England,National,53-54,D,104.0,100.0,18.0,2.0,8.0,7.6923076923076925
2013-14,E92000001,England,England,National,53-54,E,199.0,9.107551487414188,91.0,2.0,5.0,0.2288329519450801
2013-14,E92000001,England,England,National,53-54,F1,129.0,5.080740448995667,38.0,4.0,1.0,0.03938558487593541
2013-14,E92000001,England,England,National,53-54,F2,2.0,8.333333333333332,0.0,0.0,0.0,0.0
2013-14,E92000001,England,England,National,55-59,A,287.0,8.256616800920598,129.0,3.0,7.0,0.20138089758342925
2013-14,E92000001,England,England,National,55-59,A to F2,13388.0,3.144081011516711,5829.0,278.0,151.0,0.03546132601874988
2013-14,E92000001,England,England,National,55-59,B,1125.0,8.143322475570033,553.0,31.0,14.0,0.10133912414042708
2013-14,E92000001,England,England,National,55-59,C1,10247.0,2.7661176902498874,4415.0,215.0,101.0,0.027264359004122045
2013-14,E92000001,England,England,National,55-59,C2,1138.0,4.02248064755576,498.0,24.0,14.0,0.049485702166766815
2013-14,E92000001,England,England,National,55-59,D,124.0,97.63779527559055,18.0,1.0,7.0,5.511811023622047
2013-14,E92000001,England,England,National,55-59,E,167.0,7.814693495554516,78.0,1.0,7.0,0.32756200280767434
2013-14,E92000001,England,England,National,55-59,F1,251.0,3.8674884437596297,114.0,3.0,0.0,0.0
2013-14,E92000001,England,England,National,55-59,F2,49.0,4.743465634075508,24.0,0.0,1.0,0.0968054211035818
2013-14,E92000001,England,England,National,60-64,A,155.0,7.531584062196307,79.0,3.0,1.0,0.048590864917395525
2013-14,E92000001,England,England,National,60-64,A to F2,13018.0,3.209898460885989,6326.0,252.0,143.0,0.035260061446204985
2013-14,E92000001,England,England,National,60-64,B,449.0,9.440706476030277,229.0,11.0,8.0,0.16820857863751051
2013-14,E92000001,England,England,National,60-64,C1,10499.0,2.907400176675999,5122.0,205.0,111.0,0.030738300753503752
2013-14,E92000001,England,England,National,60-64,C2,1472.0,4.877725495393995,711.0,23.0,19.0,0.06295977201935185
2013-14,E92000001,England,England,National,60-64,D,117.0,97.5,19.0,2.0,2.0,1.6666666666666667
2013-14,E92000001,England,England,National,60-64,E,78.0,6.976744186046512,42.0,1.0,0.0,0.0
2013-14,E92000001,England,England,National,60-64,F1,180.0,3.6231884057971016,88.0,3.0,2.0,0.040257648953301126
2013-14,E92000001,England,England,National,60-64,F2,68.0,5.45308740978348,36.0,4.0,0.0,0.0
2013-14,E92000001,England,England,National,65-70,A,120.0,8.614501076812635,60.0,2.0,2.0,0.14357501794687724
2013-14,E92000001,England,England,National,65-70,A to F2,15499.0,3.420604846095955,7988.0,273.0,163.0,0.035973842822997655
2013-14,E92000001,England,England,National,65-70,B,261.0,8.962912087912088,128.0,5.0,5.0,0.1717032967032967
2013-14,E92000001,England,England,National,65-70,C1,12858.0,3.1540835299831724,6675.0,231.0,121.0,0.02968145179094446
2013-14,E92000001,England,England,National,65-70,C2,1682.0,5.3039858728557014,887.0,21.0,22.0,0.06937436932391525
2013-14,E92000001,England,England,National,65-70,D,154.0,98.71794871794873,24.0,2.0,9.0,5.769230769230769
2013-14,E92000001,England,England,National,65-70,E,52.0,5.88235294117647,25.0,0.0,0.0,0.0
2013-14,E92000001,England,England,National,65-70,F1,285.0,4.116712407915644,153.0,10.0,2.0,0.02888920988010978
2013-14,E92000001,England,England,National,65-70,F2,87.0,5.938566552901023,36.0,2.0,2.0,0.13651877133105803
2013-14,E92000001,England,England,National,Over 70,A,6.0,7.59493670886076,6.0,0.0,0.0,0.0
2013-14,E92000001,England,England,National,Over 70,A to F2,5068.0,4.084033748881887,2783.0,78.0,68.0,0.05479761146881774
2013-14,E92000001,England,England,National,Over 70,B,19.0,7.786885245901639,7.0,1.0,1.0,0.4098360655737705
2013-14,E92000001,England,England,National,Over 70,C1,1516.0,3.2830196851246294,809.0,30.0,20.0,0.0433116053446521
2013-14,E92000001,England,England,National,Over 70,C2,314.0,5.927883707759109,186.0,4.0,2.0,0.037757221068529356
2013-14,E92000001,England,England,National,Over 70,D,54.0,87.09677419354838,7.0,0.0,3.0,4.838709677419355
