CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Name,Org_Type,Age_Band,Table_Code,Screened,Invited,Uptake
2013-14,E92000001,England,England,National,60-64,A to D,398225.0,542635.0,73.38726768453932
2013-14,E92000001,England,England,National,60-64,B,4756.0,52013.0,9.14386787918405
2013-14,E92000001,England,England,National,60-64,C1,361113.0,411824.0,87.68624460934768
2013-14,E92000001,England,England,National,60-64,C2,30178.0,70783.0,42.634530890185495
2013-14,E92000001,England,England,National,60-64,D,120.0,121.0,99.17355371900827
2013-14,E92000001,England,England,National,65-70,A,1393.0,5695.0,24.460052677787534
2013-14,E92000001,England,England,National,65-70,A and C1,409055.0,468626.0,87.28815729387614
2013-14,E92000001,England,England,National,65-70,A to C2,443679.0,604822.0,73.35695460813264
2013-14,E92000001,England,England,National,65-70,A to D,443835.0,604978.0,73.36382480024068
2013-14,E92000001,England,England,National,65-70,B,2912.0,46829.0,6.218368959405496
2013-14,E92000001,England,England,National,65-70,C1,407662.0,462931.0,88.06107173639268
2013-14,E92000001,England,England,National,65-70,C2,31712.0,89367.0,35.4851343337026
2013-14,E92000001,England,England,National,65-70,D,156.0,156.0,100.0
2013-14,E92000001,England,England,National,Over 70,A,79.0,334.0,23.652694610778443
2013-14,E92000001,England,England,National,Over 70,A and C1,46256.0,54873.0,84.29646638601862
2013-14,E92000001,England,England,National,Over 70,A to C2,51797.0,75680.0,68.44212473572938
2013-14,E92000001,England,England,National,Over 70,A to D,51859.0,75742.0,68.46795701196166
2013-14,E92000001,England,England,National,Over 70,B,244.0,5390.0,4.5269016697588125
2013-14,E92000001,England,England,National,Over 70,C1,46177.0,54539.0,84.66785236252956
2013-14,E92000001,England,England,National,Over 70,C2,5297.0,15417.0,34.358176039436984
2013-14,E92000001,England,England,National,Over 70,D,62.0,62.0,100.0
2014-15,E92000001,England,England,National,45-49,A,159030.0,238589.0,66.65437216300836
2014-15,E92000001,England,England,National,45-49,A and C1,170563.0,252740.0,67.48555828123763
2014-15,E92000001,England,England,National,45-49,A to C2,172930.0,259507.0,66.63789416085115
2014-15,E92000001,England,England,National,45-49,A to D,173032.0,259609.0,66.6510020839031
2014-15,E92000001,England,England,National,45-49,B,1971.0,6151.0,32.04357015119493
2014-15,E92000001,England,England,National,45-49,C1,11533.0,14151.0,81.49954066850398
2014-15,E92000001,England,England,National,45-49,C2,396.0,616.0,64.28571428571429
2014-15,E92000001,England,England,National,45-49,D,102.0,102.0,100.0
2014-15,E92000001,England,England,National,45-74,A,340545.0,525733.0,64.77527566274135
2014-15,E92000001,England,England,National,45-74,A and C1,1808126.0,2226353.0,81.21470404738153
2014-15,E92000001,England,England,National,45-74,A to C2,1983555.0,2802883.0,70.76838383906856
2014-15,E92000001,England,England,National,45-74,A to D,1984499.0,2803834.0,70.77804891445071
2014-15,E92000001,England,England,National,45-74,B,59193.0,309209.0,19.143362580002524
2014-15,E92000001,England,England,National,45-74,C1,1467581.0,1700620.0,86.29682115934189
2014-15,E92000001,England,England,National,45-74,C2,116236.0,267321.0,43.48180651725828
2014-15,E92000001,England,England,National,45-74,D,944.0,951.0,99.26393270241851
2014-15,E92000001,England,England,National,50-52,A,170039.0,247958.0,68.57572653433243
2014-15,E92000001,England,England,National,50-52,A and C1,278451.0,378338.0,73.59847543730737
2014-15,E92000001,England,England,National,50-52,A to C2,296924.0,430303.0,69.00346964813167
2014-15,E92000001,England,England,National,50-52,A to D,297158.0,430538.0,69.02015617669056
2014-15,E92000001,England,England,National,50-52,B,15517.0,47337.0,32.779855081648606
2014-15,E92000001,England,England,National,50-52,C1,108412.0,130380.0,83.15078999846602
2014-15,E92000001,England,England,National,50-52,C2,2956.0,4628.0,63.87208297320657
2014-15,E92000001,England,England,National,50-52,D,234.0,235.0,99.57446808510639
2014-15,E92000001,England,England,National,50<71,A,181419.0,286755.0,63.26620285609666
2014-15,E92000001,England,England,National,50<71,A and C1,1585339.0,1911132.0,82.95287818947095
2014-15,E92000001,England,England,National,50<71,A to C2,1751978.0,2457632.0,71.28723909844923
2014-15,E92000001,England,England,National,50<71,A to D,1752757.0,2458418.0,71.29613434330533
2014-15,E92000001,England,England,National,50<71,B,56949.0,297196.0,19.16210177795125
2014-15,E92000001,England,England,National,50<71,C1,1403920.0,1624377.0,86.42821216995809
2014-15,E92000001,England,England,National,50<71,C2,109690.0,249304.0,43.998491801174474
2014-15,E92000001,England,England,National,50<71,D,779.0,786.0,99.10941475826972
2014-15,E92000001,England,England,National,53-54,A,4070.0,11038.0,36.87262185178474
2014-15,E92000001,England,England,National,53-54,A and C1,164965.0,202243.0,81.56771804215721
2014-15,E92000001,England,England,National,53-54,A to C2,187225.0,271223.0,69.02991265490022
2014-15,E92000001,England,England,National,53-54,A to D,187320.0,271319.0,69.04050213954791
2014-15,E92000001,England,England,National,53-54,B,18091.0,62302.0,29.037591088568586
2014-15,E92000001,England,England,National,53-54,C1,160895.0,191205.0,84.14790408200622
2014-15,E92000001,England,England,National,53-54,C2,4169.0,6678.0,62.42887091943695
2014-15,E92000001,England,England,National,53-54,D,95.0,96.0,98.95833333333334
2014-15,E92000001,England,England,National,55-59,A,3697.0,13041.0,28.349052986734147
2014-15,E92000001,England,England,National,55-59,A and C1,375886.0,445778.0,84.32134380790438
2014-15,E92000001,England,England,National,55-59,A to C2,422850.0,594857.0,71.08431101928699
2014-15,E92000001,England,England,National,55-59,A to D,423009.0,595018.0,71.09179890356259
2014-15,E92000001,England,England,National,55-59,B,14867.0,86344.0,17.218335958491615
2014-15,E92000001,England,England,National,55-59,C1,372189.0,432737.0,86.00812964918646
2014-15,E92000001,England,England,National,55-59,C2,32097.0,62735.0,51.162827767593846
2014-15,E92000001,England,England,National,55-59,D,159.0,161.0,98.75776397515527
